,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
277,23572147,Apostolos Parellis,CYP,male,1985-07-24,1.86,110.0,athletics,0.0,0.0,0.0
278,319236400,Aras Kaya,TUR,male,1994-04-04,1.81,60.0,athletics,0.0,0.0,0.0
279,67773543,Ari Mannio,FIN,male,1987-07-23,1.85,100.0,athletics,0.0,0.0,0.0
280,76956627,Arialis J. Gandulla,CUB,female,1995-06-22,1.7,75.0,athletics,0.0,0.0,0.0
281,68245783,Ariana Kira Hilborna,LAT,female,1980-09-19,1.67,52.0,athletics,0.0,0.0,0.0
282,124325348,Ariana Washington,USA,female,1996-08-27,1.76,61.0,athletics,0.0,0.0,0.0
285,708613279,Arman Hall,USA,male,1994-02-12,1.83,74.0,athletics,1.0,0.0,0.0
286,974000570,Arnis Rumbenieks,LAT,male,1988-04-04,1.75,63.0,athletics,0.0,0.0,0.0
287,1436864,Arokia Rajiv,IND,male,1991-05-22,1.77,64.0,athletics,0.0,0.0,0.0
288,725424114,Aron Kifle,ERI,male,1998-02-20,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
289,268835792,Arthur Abele,GER,male,1986-07-30,1.84,85.0,athletics,0.0,0.0,0.0
290,749009956,Artsem Bandarenka,BLR,male,1991-06-19,1.87,78.0,athletics,0.0,0.0,0.0
291,80806141,Artur Brzozowski,POL,male,1985-03-29,1.74,67.0,athletics,0.0,0.0,0.0
292,46547339,Artur Kozlowski,POL,male,1985-01-19,1.69,54.0,athletics,0.0,0.0,0.0
293,802555089,Artur Mastianica,LTU,male,1992-07-30,1.87,73.0,athletics,0.0,0.0,0.0
294,74899025,Arturo Chavez,PER,male,1990-01-12,1.9,76.0,athletics,0.0,0.0,0.0
295,512554925,Arturo Ramirez,VEN,male,1991-09-14,1.7,65.0,athletics,0.0,0.0,0.0
298,508304618,Asafa Powell,JAM,male,1982-11-23,1.91,93.0,athletics,1.0,0.0,0.0
299,335612059,Asbel Kiprop,KEN,male,1989-06-30,1.9,63.0,athletics,0.0,0.0,0.0
300,481165955,Asdis Hjalmsdottir,ISL,female,1985-10-28,1.78,70.0,athletics,0.0,0.0,0.0
301,648671470,Asha Philip,GBR,female,1990-10-25,1.64,67.0,athletics,0.0,0.0,1.0
304,70434826,Ashleigh Nelson,GBR,female,1991-02-20,1.75,69.0,athletics,0.0,0.0,0.0
305,742039431,Ashley Kelly,IVB,female,1991-03-25,1.73,75.0,athletics,0.0,0.0,0.0
306,889563611,Ashley Spencer,USA,female,1993-06-08,1.78,58.0,athletics,0.0,0.0,1.0
307,617579036,Ashraf Amgad Elseify,QAT,male,1995-02-20,1.85,105.0,athletics,0.0,0.0,0.0
