,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
218,385452766,Jennifer Cesar,VEN,female,1989-05-26,1.59,57.0,cycling,0.0,0.0,0.0
219,871842382,Jennifer Valente,USA,female,1994-12-24,1.76,74.0,cycling,0.0,1.0,0.0
220,87849675,Jenny Rissveds,SWE,female,1994-06-06,1.65,55.0,cycling,1.0,0.0,0.0
221,229792766,Jens Schuermans,BEL,male,1993-02-13,1.75,64.0,cycling,0.0,0.0,0.0
222,222564871,Jeremy Rencurel,FRA,male,1995-04-13,1.81,83.0,cycling,0.0,0.0,0.0
223,897539865,Jeyong Son,KOR,male,1994-01-12,1.77,70.0,cycling,0.0,0.0,0.0
224,87944431,Jhoan Esteban Chaves Rubio,COL,male,1990-01-17,1.64,54.0,cycling,0.0,0.0,0.0
225,518155505,Jhonnatan Botero Villegas,COL,male,1992-04-27,1.67,58.0,cycling,0.0,0.0,0.0
226,262158592,Jinjie Gong,CHN,female,1986-11-12,1.65,65.0,cycling,1.0,0.0,0.0
227,472743592,Joachim Eilers,GER,male,1990-04-02,1.85,90.0,cycling,0.0,0.0,0.0
228,929833418,Joanna Rowsell-Shand,GBR,female,1988-12-05,1.8,69.0,cycling,1.0,0.0,0.0
229,548003782,Joaquim Rodriguez Oliver,ESP,male,1979-05-12,1.69,59.0,cycling,0.0,0.0,0.0
230,22338705,Jolanda Neff,SUI,female,1993-01-05,1.68,53.0,cycling,0.0,0.0,0.0
231,808313337,Jolien D'hoore,BEL,female,1990-03-14,1.76,64.0,cycling,0.0,0.0,1.0
232,911513755,Jon Izaguirre Insausti,ESP,male,1989-02-04,1.72,61.0,cycling,0.0,0.0,0.0
233,809086718,Jonathan Castroviejo Nicolas,ESP,male,1987-04-27,1.72,64.0,cycling,0.0,0.0,0.0
234,183836938,Joonyong Seo,KOR,male,1988-03-14,1.74,65.0,cycling,0.0,0.0,0.0
235,964164116,Joost van der Burg,NED,male,1993-12-11,1.81,72.0,cycling,0.0,0.0,0.0
236,692369210,Joris Daudet,FRA,male,1991-02-12,1.84,78.0,cycling,0.0,0.0,0.0
237,914289728,Jose Antonio Hermida Ramos,ESP,male,1978-08-24,1.72,67.0,cycling,0.0,0.0,0.0
238,112540010,Jose Joao Pimenta Costa Mendes,POR,male,1985-04-24,1.81,65.0,cycling,0.0,0.0,0.0
239,767377720,Jose Luis Rodriguez,CHI,male,1994-06-01,1.8,75.0,cycling,0.0,0.0,0.0
240,113412907,Jovana Crnogorac,SRB,female,1992-02-29,1.7,56.0,cycling,0.0,0.0,0.0
241,59463707,Juan Peralta Gascon,ESP,male,1990-05-17,1.94,93.0,cycling,0.0,0.0,0.0
242,396350226,Julian Alaphilippe,FRA,male,1992-06-11,1.73,62.0,cycling,0.0,0.0,0.0
243,550164775,Juliana Gaviria Rendon,COL,female,1991-03-31,1.65,58.0,cycling,0.0,0.0,0.0
244,303814544,Julien Absalon,FRA,male,1980-08-16,1.8,68.0,cycling,0.0,0.0,0.0
245,769813502,Justyna Kaczkowska,POL,female,1997-10-07,1.74,71.0,cycling,0.0,0.0,0.0
246,571537130,Jutatip Maneephan,THA,female,1988-07-08,1.57,57.0,cycling,0.0,0.0,0.0
247,743593230,Kamil Kuczynski,POL,male,1985-03-23,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
248,791361517,Kanstantsin Siutsou,BLR,male,1982-08-09,1.84,70.0,cycling,0.0,0.0,0.0
249,206688360,Karol-Ann Canuel,CAN,female,1988-04-18,1.63,51.0,cycling,0.0,0.0,0.0
250,952109931,Katarzyna Niewiadoma,POL,female,1994-09-29,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
251,562453603,Kate O'Brien,CAN,female,1988-07-23,1.68,70.0,cycling,0.0,0.0,0.0
252,455000082,Katerina Nash,CZE,female,1977-12-09,1.64,52.0,cycling,0.0,0.0,0.0
253,437866225,Katie Archibald,GBR,female,1994-03-12,1.78,70.0,cycling,1.0,0.0,0.0
254,668148835,Katrin Garfoot,AUS,female,1981-10-08,1.66,56.0,cycling,0.0,0.0,0.0
255,758751258,Katy Marchant,GBR,female,1993-01-30,1.7,72.0,cycling,0.0,0.0,1.0
256,717693447,Kazunari Watanabe,JPN,male,1983-08-12,1.76,80.0,cycling,0.0,0.0,0.0
257,609247354,Kazushige Kuboki,JPN,male,1989-06-06,1.72,65.0,cycling,0.0,0.0,0.0
